"age group","county name","cases","deaths","hospitalization"
"<1 years","Crisp","7","0","0"
"Unknown years","Crisp","13","0","0"
"01-04 years","Dade","10","0","0"
"05-09 years","Dade","29","0","0"
"10-17 years","Dade","79","0","0"
"18-29 years","Dade","186","0","1"
"30-39 years","Dade","129","0","2"
"40-49 years","Dade","158","0","7"
"50-59 years","Dade","140","1","7"
"60-69 years","Dade","107","1","6"
"70-79 years","Dade","72","5","15"
"80 & Older years","Dade","48","1","8"
"<1 years","Dade","7","0","0"
"Unknown years","Dade","29","0","1"
"01-04 years","Dawson","21","0","0"
"05-09 years","Dawson","41","0","0"
"10-17 years","Dawson","179","0","4"
"18-29 years","Dawson","478","0","11"
"30-39 years","Dawson","339","0","11"
"40-49 years","Dawson","322","0","21"
"50-59 years","Dawson","375","2","28"
"60-69 years","Dawson","303","4","62"
"70-79 years","Dawson","193","13","42"
"80 & Older years","Dawson","80","10","27"
"<1 years","Dawson","8","0","1"
"Unknown years","Dawson","69","0","2"
"01-04 years","DeKalb","647","0","18"
"05-09 years","DeKalb","952","0","14"
"10-17 years","DeKalb","2746","0","48"
"18-29 years","DeKalb","11025","9","309"
"30-39 years","DeKalb","9534","14","447"
"40-49 years","DeKalb","7600","27","512"
"50-59 years","DeKalb","6870","72","704"
"60-69 years","DeKalb","4349","126","746"
"70-79 years","DeKalb","2237","171","564"
"80 & Older years","DeKalb","1390","211","416"
"<1 years","DeKalb","154","0","7"
"Unknown years","DeKalb","251","0","7"
"01-04 years","Decatur","48","0","1"
"05-09 years","Decatur","58","0","0"
"10-17 years","Decatur","194","0","0"
"18-29 years","Decatur","387","1","8"
"30-39 years","Decatur","304","1","8"
"40-49 years","Decatur","302","1","18"
"50-59 years","Decatur","250","5","25"
"60-69 years","Decatur","215","10","29"
"70-79 years","Decatur","130","16","22"
"80 & Older years","Decatur","95","13","19"
"<1 years","Decatur","9","0","0"
"01-04 years","Dodge","7","0","0"
"05-09 years","Dodge","17","0","0"
"10-17 years","Dodge","81","1","1"
"18-29 years","Dodge","185","0","4"
"30-39 years","Dodge","140","0","3"
"40-49 years","Dodge","148","1","10"
"50-59 years","Dodge","173","4","15"
"60-69 years","Dodge","152","13","29"
"70-79 years","Dodge","80","16","21"
"80 & Older years","Dodge","56","16","17"
"<1 years","Dodge","3","0","0"
"Unknown years","Dodge","1","1","0"
"01-04 years","Dooly","12","0","0"
"05-09 years","Dooly","11","0","0"
"10-17 years","Dooly","45","0","1"
"18-29 years","Dooly","98","0","5"
"30-39 years","Dooly","94","0","9"
"40-49 years","Dooly","111","0","8"
"50-59 years","Dooly","126","5","15"
"60-69 years","Dooly","117","9","22"
"70-79 years","Dooly","62","6","12"
"80 & Older years","Dooly","21","6","5"
"<1 years","Dooly","3","0","0"
"Unknown years","Dooly","3","0","0"
"01-04 years","Dougherty","53","0","3"
"05-09 years","Dougherty","93","0","0"
"10-17 years","Dougherty","219","0","4"
"18-29 years","Dougherty","875","2","72"
"30-39 years","Dougherty","738","4","67"
"40-49 years","Dougherty","765","14","102"
"50-59 years","Dougherty","841","23","148"
"60-69 years","Dougherty","733","66","221"
"70-79 years","Dougherty","431","56","165"
"80 & Older years","Dougherty","251","82","108"
"<1 years","Dougherty","23","0","1"
"Unknown years","Dougherty","11","0","0"
"01-04 years","Douglas","127","0","3"
"05-09 years","Douglas","239","0","4"
"10-17 years","Douglas","727","0","5"
"18-29 years","Douglas","1978","0","42"
"30-39 years","Douglas","1560","3","52"
"40-49 years","Douglas","1817","4","93"
"50-59 years","Douglas","1642","18","133"
"60-69 years","Douglas","947","27","136"
"70-79 years","Douglas","510","49","121"
"80 & Older years","Douglas","246","31","70"
"<1 years","Douglas","27","0","4"
"Unknown years","Douglas","99","0","0"
"01-04 years","Early","19","0","0"
"05-09 years","Early","17","0","0"
"10-17 years","Early","75","0","0"
"18-29 years","Early","134","0","4"
"30-39 years","Early","140","0","4"
"40-49 years","Early","159","1","9"
"50-59 years","Early","150","3","10"
"60-69 years","Early","114","11","12"
"70-79 years","Early","71","13","15"
"80 & Older years","Early","38","12","11"
"<1 years","Early","2","0","0"
"01-04 years","Echols","7","0","0"
"05-09 years","Echols","5","0","0"
"10-17 years","Echols","26","0","1"
"18-29 years","Echols","129","0","1"
"30-39 years","Echols","56","0","2"
"40-49 years","Echols","40","0","1"
"50-59 years","Echols","43","0","2"
"60-69 years","Echols","21","0","0"
"70-79 years","Echols","17","2","3"
"80 & Older years","Echols","1","0","1"
"<1 years","Echols","1","0","0"
"01-04 years","Effingham","41","0","2"
"05-09 years","Effingham","96","0","0"
"10-17 years","Effingham","310","0","0"
"18-29 years","Effingham","596","0","4"
"30-39 years","Effingham","524","1","12"
"40-49 years","Effingham","502","0","26"
"50-59 years","Effingham","504","9","34"
"60-69 years","Effingham","334","5","48"
"70-79 years","Effingham","198","17","49"
"80 & Older years","Effingham","89","15","29"
"<1 years","Effingham","7","0","0"
"Unknown years","Effingham","5","0","0"
"01-04 years","Elbert","18","0","0"
"05-09 years","Elbert","27","0","0"
"10-17 years","Elbert","78","0","0"
"18-29 years","Elbert","242","0","1"
"30-39 years","Elbert","171","0","8"
"40-49 years","Elbert","204","1","8"
"50-59 years","Elbert","217","0","11"
"60-69 years","Elbert","175","2","20"
"70-79 years","Elbert","150","12","30"
"80 & Older years","Elbert","123","22","29"
"<1 years","Elbert","8","0","2"
"Unknown years","Elbert","9","0","0"
"01-04 years","Emanuel","23","0","1"
"05-09 years","Emanuel","21","0","0"
"10-17 years","Emanuel","160","0","2"
"18-29 years","Emanuel","291","1","0"
"30-39 years","Emanuel","219","0","7"
"40-49 years","Emanuel","274","1","7"
"50-59 years","Emanuel","244","6","24"
"60-69 years","Emanuel","211","9","26"
"70-79 years","Emanuel","123","15","25"
"80 & Older years","Emanuel","59","19","20"
"<1 years","Emanuel","4","0","0"
"Unknown years","Emanuel","11","0","1"
"01-04 years","Evans","9","0","0"
"05-09 years","Evans","20","0","0"
"10-17 years","Evans","80","0","0"
"18-29 years","Evans","131","1","3"
"30-39 years","Evans","119","0","3"
"40-49 years","Evans","99","0","9"
"50-59 years","Evans","101","1","15"
"60-69 years","Evans","61","3","14"
"70-79 years","Evans","44","3","12"
"80 & Older years","Evans","18","2","9"
"<1 years","Evans","2","0","0"
"Unknown years","Evans","1","0","0"
"01-04 years","Fannin","12","0","0"
"05-09 years","Fannin","24","0","0"
"10-17 years","Fannin","105","0","0"
"18-29 years","Fannin","259","1","3"
"30-39 years","Fannin","201","0","6"
"40-49 years","Fannin","234","1","9"
"50-59 years","Fannin","318","4","21"
"60-69 years","Fannin","303","5","31"
"70-79 years","Fannin","224","9","37"
"80 & Older years","Fannin","135","27","45"
"<1 years","Fannin","4","0","0"
"Unknown years","Fannin","17","0","0"
"01-04 years","Fayette","52","0","0"
"05-09 years","Fayette","88","0","1"
"10-17 years","Fayette","390","0","2"
"18-29 years","Fayette","998","0","6"
"30-39 years","Fayette","631","1","7"
"40-49 years","Fayette","851","1","22"
"50-59 years","Fayette","904","5","32"
"60-69 years","Fayette","702","15","38"
"70-79 years","Fayette","371","39","59"
"80 & Older years","Fayette","246","45","34"
"<1 years","Fayette","11","0","0"
"Unknown years","Fayette","40","0","0"
"01-04 years","Floyd","107","0","3"
"05-09 years","Floyd","182","0","0"
"10-17 years","Floyd","821","0","8"
"18-29 years","Floyd","1800","0","19"
"30-39 years","Floyd","1311","3","40"
"40-49 years","Floyd","1281","4","71"
"50-59 years","Floyd","1222","18","116"
"60-69 years","Floyd","890","30","150"
"70-79 years","Floyd","618","35","156"
"80 & Older years","Floyd","352","52","118"
