UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,29,4833689,2457707,2375982,1782128,1699889,386503,383974,36828,33830,173325,178418,7757,7025,71166,72846,1844036,1763389,416537,416669,59004,55792,201470,206667,14867,14046,1939568,1897571,1329736,1283534,359485,357921,20929,19964,167993,173009,5651,5222,55774,57921,1378057,1333919,382668,383759,36244,35409,192037,197051,11235,10814,518139,478411,452392,416355,27018,26053,15899,13866,5332,5409,2106,1803,15392,14925,465979,429470,33869,32910,22760,20383,9433,9616,3632,3232
R,7,2020,30,4819125,2444922,2374203,1780840,1701813,377848,380705,36180,33030,175904,182718,7900,7147,66250,68790,1838640,1761897,405044,410898,56780,54223,202607,209326,14550,13746,1931567,1905040,1332015,1293621,351307,354546,20246,19584,170544,177526,5667,5337,51788,54426,1376995,1341012,372109,378092,34436,34388,193396,200312,10900,10586,513355,469163,448825,408192,26541,26159,15934,13446,5360,5192,2233,1810,14462,14364,461645,420885,32935,32806,22344,19835,9211,9014,3650,3160
R,7,2020,31,4625678,2345441,2280237,1715899,1635950,351843,358847,34532,31072,174382,183739,7608,6804,61177,63825,1769219,1691518,376505,386360,53983,50668,198972,208988,13738,13046,1856420,1836590,1288289,1249632,326704,334060,19019,18358,169374,178652,5586,5134,47448,50754,1329488,1293651,345157,355594,32235,32185,190444,200379,10475,10113,489021,443647,427610,386318,25139,24787,15513,12714,5008,5087,2022,1670,13729,13071,439731,397867,31348,30766,21748,18483,8528,8609,3263,2933
R,7,2020,32,4512564,2285672,2226892,1688273,1612136,328947,337895,33780,30414,169359,179191,7529,6777,57784,60479,1738422,1664838,351580,363714,52082,49145,193162,203186,13594,12756,1798837,1789345,1261220,1230702,304935,313830,18244,17662,164557,174403,5443,5113,44438,47635,1299602,1272135,321640,333626,30449,30712,184941,194982,10213,9911,486835,437547,427053,381434,24012,24065,15536,12752,4802,4788,2086,1664,13346,12844,438820,392703,29940,30088,21633,18433,8221,8204,3381,2845
R,7,2020,33,4430557,2243283,2187274,1669264,1590953,314102,325781,32598,29406,165743,176023,7426,6708,54150,58403,1716298,1641864,335290,350440,50193,48022,187873,199100,13004,12389,1764675,1755014,1248353,1213723,291039,302350,17518,17013,160972,171381,5323,4963,41470,45584,1284132,1253311,306528,321037,29288,29855,179936,191187,9795,9477,478608,432260,420911,377230,23063,23431,15080,12393,4771,4642,2103,1745,12680,12819,432166,388553,28762,29403,20905,18167,7937,7913,3209,2912
R,7,2020,34,4440479,2245564,2194915,1680537,1604988,306510,321200,32356,29414,165945,176707,7547,6780,52669,55826,1726217,1653344,326547,344327,49729,47639,187505,198810,13198,12422,1763026,1761410,1255894,1225929,283406,297902,16869,16759,161227,172178,5376,5135,40254,43507,1290620,1263429,297934,315372,28479,29492,179648,191047,9872,9664,482538,433505,424643,379059,23104,23298,15487,12655,4718,4529,2171,1645,12415,12319,435597,389915,28613,28955,21250,18147,7857,7763,3326,2758
R,7,2020,35,4465165,2250303,2214862,1690759,1623171,303423,320616,31727,29423,166107,179748,7456,6740,50831,55164,1734811,1671034,322380,342749,48881,47739,186935,201921,12993,12377,1766548,1777812,1264418,1240718,280779,297306,16423,16711,161440,175245,5253,5108,38235,42724,1297290,1277603,294202,313649,27696,29439,179147,194270,9620,9613,483755,437050,426341,382453,22644,23310,15304,12712,4667,4503,2203,1632,12596,12440,437521,393431,28178,29100,21185,18300,7788,7651,3373,2764
R,7,2020,36,4318805,2167844,2150961,1630736,1576747,287106,308489,30929,28685,163588,177426,7127,6546,48358,53068,1672556,1622700,304979,329194,47499,46676,183527,199051,12380,12127,1701983,1723276,1219913,1201987,265553,286222,15998,16160,158991,173125,5084,4882,36444,40900,1251218,1237220,278199,301383,26964,28622,175940,191551,9223,9335,465861,427685,410823,374760,21553,22267,14931,12525,4597,4301,2043,1664,11914,12168,421338,385480,26780,27811,20535,18054,7587,7500,3157,2792
R,7,2020,37,4374057,2191037,2183020,1653910,1603452,288566,312822,31355,29177,161289,177713,7186,6747,48731,53109,1696086,1649266,306423,333451,48142,47571,181247,199152,12526,12370,1719555,1747351,1237575,1222183,267094,289593,16082,16368,156767,173279,5158,5060,36879,40868,1269230,1257236,279710,304683,27363,29085,173735,191578,9395,9536,471482,435669,416335,381269,21472,23229,15273,12809,4522,4434,2028,1687,11852,12241,426856,392030,26713,28768,20779,18486,7512,7574,3131,2834
R,7,2020,38,4362181,2180166,2182015,1649945,1605167,286205,313203,30755,28419,158763,176849,7221,6624,47277,51753,1690815,1649725,303413,333544,47520,46615,177856,197425,12466,12110,1710751,1744044,1235524,1220881,264702,290347,15810,15679,154199,172303,5155,4892,35361,39942,1265824,1255074,276750,305311,26925,28385,170255,189834,9296,9284,469415,437971,414421,384286,21503,22856,14945,12740,4564,4546,2066,1732,11916,11811,424991,394651,26663,28233,20595,18230,7601,7591,3170,2826
